k,Ev,mes-ano,ONI
1112.5883123689728,0.34364310643892987,Feb-79,0.2487513
1111.7727987421383,0.3454325328929362,Mar-79,0.39561456
1155.0681341719078,0.3338901284093367,Apr-79,0.6433468
1178.5235849056603,0.3285165887047347,May-79,0.71680397
1207.597746331237,0.33807850119689403,Jun-79,0.7741441
1212.7413522012578,0.38971310318074726,Jul-79,0.5437417
1217.7468553459119,0.351091784574999,Aug-79,0.34794417
1293.8286163522012,0.3277986873437942,Sep-79,-0.015352479
1354.3013626834381,0.33753191708218483,Oct-79,-0.22453432
1336.3107966457023,0.3393458524656799,Nov-79,-0.31327796
1347.498427672956,0.3430519107725039,Dec-79,-0.3039698
1212.533280922432,0.3228523233567522,Jan-80,-0.299415
1187.079926624738,0.31568780586584155,Feb-80,-0.32714078
1262.087788259958,0.34615543336479565,Mar-80,-0.30851886
1171.5736373165619,0.3276935899691262,Apr-80,-0.19349438
1160.8325471698113,0.3132097824687662,May-80,-0.0054352717
1274.5490041928722,0.3500188324443755,Jun-80,0.16726604
1242.8642557651992,0.3497339703883802,Jul-80,0.21257688
1223.4701257861636,0.36434939781871833,Aug-80,0.17020932
1250.9795597484276,0.3442392502230351,Sep-80,0.11456206
1357.578354297694,0.38399885563865344,Oct-80,0.15749836
1268.9709119496856,0.3629210665563608,Nov-80,0.1937722
1202.1069182389938,0.3386190041601523,Dec-80,0.28119308
1208.4095911949685,0.36376358671163883,Jan-81,0.48114765
1240.5885744234802,0.3618534899230772,Feb-81,0.71301115
1205.4934486373165,0.31661765559615457,Mar-81,0.89475304
1245.6703354297695,0.322583747958148,Apr-81,0.8125583
1253.0010482180294,0.32063804390510453,May-81,0.7591849
1222.7762054507336,0.326055036894948,Jun-81,0.65288645
1240.9837526205451,0.328872042748566,Jul-81,0.61196697
1191.937893081761,0.3213250093631783,Aug-81,0.5864624
1275.537997903564,0.33783685811872144,Sep-81,0.534792
1389.5856918238994,0.3497588425211432,Oct-81,0.4907493
1290.2350628930817,0.3350818085370695,Nov-81,0.33439633
1262.0110062893082,0.3360916968847543,Dec-81,0.21934204
1218.45571278826,0.35421062532962205,Jan-82,0.13399017
1101.716719077568,0.4199276759445257,Feb-82,0.102344595
1133.2953354297695,0.33019654580680424,Mar-82,0.10008093
1211.9502096436058,0.32221602965198115,Apr-82,0.13704239
1282.7479035639412,0.3313654911721753,May-82,0.16437337
1278.5683962264152,0.3231738199117528,Jun-82,0.08367635
1376.2044025157234,0.3503931896268764,Jul-82,0.024060337
1386.565251572327,0.37401927379653227,Aug-82,-0.06711958
1402.3039832285115,0.3681404696541584,Sep-82,-0.09659245
1369.187106918239,0.34329292179715754,Oct-82,-0.22716454
1364.3349056603774,0.34096757303310826,Nov-82,-0.29951212
1464.658280922432,0.36588727657716896,Dec-82,-0.2925409
1589.9874213836479,0.3804713520276056,Jan-83,-0.19754156
1628.2712264150944,0.38478478415295614,Feb-83,-0.0523271
1585.3658280922432,0.3792774055440351,Mar-83,-0.017126108
1634.006289308176,0.3854938444524416,Apr-83,0.007898882
1745.2657232704403,0.4013701801389449,May-83,0.049292374
1782.256289308176,0.4135250984536057,Jun-83,0.083334595
1873.4829664570232,0.42641626161118346,Jul-83,0.08660877
1788.0036687631027,0.4122188087222799,Aug-83,0.12239174
1701.072064989518,0.3991839535902344,Sep-83,0.20734057
1640.1609014675053,0.38712393603962825,Oct-83,0.4151012
1436.6829140461216,0.3556787264827383,Nov-83,0.5474443
1454.524895178197,0.378265754106393,Dec-83,0.7360805
1410.5712788259957,0.36658109368406616,Jan-84,0.8397994
1363.837002096436,0.3631965321096952,Feb-84,1.0021577
1370.9491614255764,0.36915414039311517,Mar-84,1.2772241
1516.9072327044025,0.3624798309260861,Apr-84,1.5487168
1636.5885744234802,0.38287278904323285,May-84,1.8864688
1685.2667714884697,0.39615327697178293,Jun-84,1.9520684
1700.362683438155,0.3974293830543859,Jul-84,1.8469194
1690.5115303983227,0.3959144097012635,Aug-84,1.4172195
1617.5626310272537,0.38417940099863185,Sep-84,1.006993
1501.1247379454926,0.3638881349861703,Oct-84,0.60572624
1412.1837002096436,0.34770365810433285,Nov-84,0.33076146
1348.0634171907757,0.3406792605599272,Dec-84,0.13545756
1251.8891509433963,0.3521046060834509,Jan-85,0.07966863
1141.8037211740043,0.36669010378371575,Feb-85,-0.040060245
1139.5626310272537,0.3547764911333786,Mar-85,-0.20617265
1113.2384696016773,0.3416686152592456,Apr-85,-0.41749114
1138.7885220125786,0.33696969798784215,May-85,-0.49088076
1123.269392033543,0.3270589221311213,Jun-85,-0.44216222
1148.1066561844864,0.3619643502444044,Jul-85,-0.3271617
1152.7237945492664,0.3592862707678843,Aug-85,-0.22817777
1123.4840146750523,0.35149854629919736,Sep-85,-0.21953605
1166.4447064989517,0.3265607599814755,Oct-85,-0.32254115
1153.8482704402516,0.321438509988765,Nov-85,-0.3999303
1143.9258385744236,0.32712125178871454,Dec-85,-0.4190512
1136.191823899371,0.32666178182858574,Jan-86,-0.37821475
1118.4840146750523,0.33125145199164474,Feb-86,-0.3400829
1053.3985849056603,0.3609056473065626,Mar-86,-0.4351012
1101.5102201257862,0.331010001384589,Apr-86,-0.5868169
1096.1074423480084,0.3209722948391134,May-86,-0.61223024
1132.0091719077568,0.3158028920625403,Jun-86,-0.6358988
1115.3768343815514,0.32410270153530185,Jul-86,-0.4875591
1116.8912473794549,0.3240708881491195,Aug-86,-0.4725571
1076.0566037735848,0.3333138250338857,Sep-86,-0.34792194
1141.0662997903564,0.3295896406474704,Oct-86,-0.28056982
1182.2953354297695,0.32188133591758317,Nov-86,-0.25408465
1244.8786687631027,0.33131232504768715,Dec-86,-0.25114584
1317.1223794549267,0.33654057118545405,Jan-87,-0.30057925
1317.7612683438156,0.3451280235209326,Feb-87,-0.29676068
1291.2009958071278,0.3439267947619215,Mar-87,-0.25240883
1408.9053983228512,0.353511883267145,Apr-87,-0.18187681
1575.7615303983227,0.38161060244912465,May-87,-0.1887303
1598.2696540880504,0.3810976202940568,Jun-87,-0.21060003
1642.9528301886792,0.388964874357678,Jul-87,-0.2475649
1623.275681341719,0.387171390250051,Aug-87,-0.15893725
1564.8252096436058,0.3709932319718619,Sep-87,-0.059292313
1575.831498951782,0.3754363696958312,Oct-87,7.4840727e-06
1622.747641509434,0.38154335941103684,Nov-87,0.00635112
1583.2937631027253,0.37937411878115757,Dec-87,0.028766353
